
time 01h 45m 14s, episodes 32564, frames 3.9M, mean epr -2.06, run loss 175.41
time 01h 46m 14s, episodes 32694, frames 3.9M, mean epr -2.17, run loss 181.52
time 01h 47m 14s, episodes 32836, frames 3.9M, mean epr -1.88, run loss 175.80
time 01h 48m 15s, episodes 32963, frames 4.0M, mean epr -1.56, run loss 165.25

	4M frames: saved model

time 01h 49m 15s, episodes 33108, frames 4.0M, mean epr -2.52, run loss 187.29
time 01h 50m 15s, episodes 33267, frames 4.0M, mean epr -2.66, run loss 168.20
time 01h 51m 15s, episodes 33420, frames 4.1M, mean epr -3.55, run loss 151.41
time 01h 52m 15s, episodes 33558, frames 4.1M, mean epr -1.40, run loss 180.12
time 01h 53m 15s, episodes 33694, frames 4.2M, mean epr -1.86, run loss 166.71
time 01h 54m 15s, episodes 33829, frames 4.2M, mean epr -1.94, run loss 178.82
time 01h 55m 15s, episodes 33989, frames 4.2M, mean epr -3.36, run loss 171.53
time 01h 56m 15s, episodes 34129, frames 4.3M, mean epr -2.29, run loss 170.13
time 01h 57m 15s, episodes 34259, frames 4.3M, mean epr -2.27, run loss 198.14
time 01h 58m 15s, episodes 34406, frames 4.3M, mean epr -2.79, run loss 169.33
time 01h 59m 15s, episodes 34548, frames 4.4M, mean epr -2.87, run loss 160.74
time 02h 00m 15s, episodes 34693, frames 4.4M, mean epr -2.73, run loss 182.59
time 02h 01m 16s, episodes 34839, frames 4.5M, mean epr -2.10, run loss 183.99
time 02h 02m 16s, episodes 34975, frames 4.5M, mean epr -3.41, run loss 175.37
time 02h 03m 16s, episodes 35117, frames 4.5M, mean epr -1.82, run loss 175.23
time 02h 04m 16s, episodes 35255, frames 4.6M, mean epr -2.35, run loss 173.90
time 02h 05m 16s, episodes 35385, frames 4.6M, mean epr -3.42, run loss 160.92
time 02h 06m 16s, episodes 35525, frames 4.6M, mean epr -2.10, run loss 180.20
time 02h 07m 16s, episodes 35664, frames 4.7M, mean epr -3.21, run loss 159.54
time 02h 08m 16s, episodes 35797, frames 4.7M, mean epr -1.99, run loss 184.18
time 02h 09m 16s, episodes 35920, frames 4.7M, mean epr -1.99, run loss 174.98
time 02h 10m 17s, episodes 36061, frames 4.8M, mean epr -2.51, run loss 165.39
time 02h 11m 17s, episodes 36213, frames 4.8M, mean epr -3.41, run loss 169.29
time 02h 12m 17s, episodes 36359, frames 4.9M, mean epr -3.28, run loss 178.67
time 02h 13m 18s, episodes 36494, frames 4.9M, mean epr -3.71, run loss 178.39
time 02h 14m 18s, episodes 36641, frames 4.9M, mean epr -2.73, run loss 174.13
time 02h 15m 18s, episodes 36802, frames 5.0M, mean epr -3.63, run loss 173.95
time 02h 16m 18s, episodes 36946, frames 5.0M, mean epr -2.49, run loss 172.68
time 02h 17m 18s, episodes 37081, frames 5.0M, mean epr -3.53, run loss 163.03
time 02h 18m 18s, episodes 37222, frames 5.1M, mean epr -3.24, run loss 177.15
time 02h 19m 18s, episodes 37371, frames 5.1M, mean epr -3.12, run loss 161.89
time 02h 20m 19s, episodes 37514, frames 5.2M, mean epr -3.92, run loss 168.04
time 02h 21m 19s, episodes 37675, frames 5.2M, mean epr -3.24, run loss 177.88
time 02h 22m 19s, episodes 37830, frames 5.2M, mean epr -3.25, run loss 166.24
time 02h 23m 19s, episodes 37978, frames 5.3M, mean epr -3.11, run loss 182.58
time 02h 24m 20s, episodes 38127, frames 5.3M, mean epr -3.44, run loss 165.35
time 02h 25m 20s, episodes 38272, frames 5.3M, mean epr -2.50, run loss 189.20
time 02h 26m 20s, episodes 38413, frames 5.4M, mean epr -1.95, run loss 184.78
time 02h 27m 20s, episodes 38561, frames 5.4M, mean epr -1.78, run loss 171.67
time 02h 28m 20s, episodes 38702, frames 5.5M, mean epr -2.02, run loss 188.41
time 02h 29m 20s, episodes 38849, frames 5.5M, mean epr -1.84, run loss 186.32
time 02h 30m 20s, episodes 38995, frames 5.5M, mean epr -2.19, run loss 180.17
time 02h 31m 20s, episodes 39142, frames 5.6M, mean epr -2.70, run loss 178.38
time 02h 32m 21s, episodes 39306, frames 5.6M, mean epr -3.26, run loss 163.68
time 02h 33m 21s, episodes 39449, frames 5.6M, mean epr -3.39, run loss 182.17
time 02h 34m 21s, episodes 39590, frames 5.7M, mean epr -1.79, run loss 177.06
time 02h 35m 21s, episodes 39727, frames 5.7M, mean epr -1.10, run loss 169.42
time 02h 36m 21s, episodes 39876, frames 5.7M, mean epr -2.27, run loss 175.79
time 02h 37m 22s, episodes 40019, frames 5.8M, mean epr -2.67, run loss 181.76
time 02h 38m 22s, episodes 40179, frames 5.8M, mean epr -3.97, run loss 176.32
time 02h 39m 22s, episodes 40312, frames 5.9M, mean epr -2.03, run loss 182.60
time 02h 40m 22s, episodes 40474, frames 5.9M, mean epr -0.95, run loss 179.18
time 02h 41m 22s, episodes 40627, frames 5.9M, mean epr -1.06, run loss 195.89
time 02h 42m 22s, episodes 40796, frames 6.0M, mean epr -3.26, run loss 175.66

	6M frames: saved model

time 02h 43m 23s, episodes 40975, frames 6.0M, mean epr -3.04, run loss 184.05
time 02h 44m 23s, episodes 41113, frames 6.0M, mean epr -1.71, run loss 167.73
time 02h 45m 23s, episodes 41272, frames 6.1M, mean epr -3.55, run loss 160.22
time 02h 46m 23s, episodes 41414, frames 6.1M, mean epr -2.84, run loss 175.77
time 02h 47m 24s, episodes 41560, frames 6.2M, mean epr -2.02, run loss 174.60
time 02h 48m 24s, episodes 41692, frames 6.2M, mean epr -2.35, run loss 178.97
time 02h 49m 24s, episodes 41839, frames 6.2M, mean epr -1.47, run loss 186.98
time 02h 50m 24s, episodes 41982, frames 6.3M, mean epr -1.45, run loss 192.77
time 02h 51m 24s, episodes 42122, frames 6.3M, mean epr -1.72, run loss 183.74
time 02h 52m 24s, episodes 42271, frames 6.3M, mean epr -1.58, run loss 177.95
time 02h 53m 24s, episodes 42413, frames 6.4M, mean epr -1.49, run loss 179.40
time 02h 54m 24s, episodes 42571, frames 6.4M, mean epr -1.98, run loss 193.62
time 02h 55m 24s, episodes 42716, frames 6.5M, mean epr -2.84, run loss 180.36
time 02h 56m 24s, episodes 42875, frames 6.5M, mean epr -2.38, run loss 186.25
time 02h 57m 25s, episodes 43010, frames 6.5M, mean epr -2.67, run loss 170.28
time 02h 58m 25s, episodes 43146, frames 6.6M, mean epr -1.72, run loss 172.35
time 02h 59m 25s, episodes 43279, frames 6.6M, mean epr -2.25, run loss 186.98
time 03h 00m 25s, episodes 43431, frames 6.6M, mean epr -1.30, run loss 179.56
time 03h 01m 25s, episodes 43562, frames 6.7M, mean epr -1.47, run loss 174.55
time 03h 02m 25s, episodes 43719, frames 6.7M, mean epr -1.66, run loss 177.41
time 03h 03m 25s, episodes 43882, frames 6.7M, mean epr -3.44, run loss 167.61
time 03h 04m 25s, episodes 44024, frames 6.8M, mean epr -1.93, run loss 188.99
time 03h 05m 25s, episodes 44167, frames 6.8M, mean epr -1.89, run loss 169.05
time 03h 06m 26s, episodes 44327, frames 6.9M, mean epr -2.62, run loss 184.17
time 03h 07m 26s, episodes 44478, frames 6.9M, mean epr -3.81, run loss 173.30
time 03h 08m 26s, episodes 44629, frames 6.9M, mean epr -2.68, run loss 187.99
time 03h 09m 26s, episodes 44774, frames 7.0M, mean epr -2.57, run loss 190.67
time 03h 10m 26s, episodes 44920, frames 7.0M, mean epr -2.92, run loss 160.08
time 03h 11m 26s, episodes 45067, frames 7.0M, mean epr -2.43, run loss 170.21
time 03h 12m 26s, episodes 45213, frames 7.1M, mean epr -2.68, run loss 162.76
time 03h 13m 26s, episodes 45357, frames 7.1M, mean epr -3.53, run loss 192.69
time 03h 14m 26s, episodes 45503, frames 7.2M, mean epr -2.46, run loss 184.29
time 03h 15m 27s, episodes 45644, frames 7.2M, mean epr -2.08, run loss 175.44
time 03h 16m 27s, episodes 45781, frames 7.2M, mean epr -1.54, run loss 174.16
time 03h 17m 27s, episodes 45909, frames 7.3M, mean epr -1.25, run loss 190.23
time 03h 18m 27s, episodes 46040, frames 7.3M, mean epr -0.99, run loss 202.18
time 03h 19m 27s, episodes 46179, frames 7.3M, mean epr -1.64, run loss 180.04
time 03h 20m 27s, episodes 46325, frames 7.4M, mean epr -1.81, run loss 177.47
time 03h 21m 28s, episodes 46477, frames 7.4M, mean epr -1.79, run loss 197.92
time 03h 22m 28s, episodes 46614, frames 7.4M, mean epr -2.55, run loss 180.56
time 03h 23m 28s, episodes 46753, frames 7.5M, mean epr -1.42, run loss 183.21
time 03h 24m 28s, episodes 46891, frames 7.5M, mean epr -1.71, run loss 190.82
time 03h 25m 28s, episodes 47036, frames 7.6M, mean epr -2.00, run loss 194.51
time 03h 26m 28s, episodes 47190, frames 7.6M, mean epr -1.71, run loss 182.77
time 03h 27m 28s, episodes 47322, frames 7.6M, mean epr -2.37, run loss 174.17
time 03h 28m 28s, episodes 47457, frames 7.7M, mean epr -1.54, run loss 188.28
